Clinical Information,Bibliographic Information,,,,,,Recording Information,,,Analysis Information,,Dataset Information,,,,Method Information,,,,Results Information,,,,,,,,
Disorder,Authors,Year,Month,DOI,Title,Journal,Data,Analyzed Data,Amount of Data,Design,Analysis,# Patients,Patient Ages,# Control,Control Ages,Fit Method,Fit Range,Report Settings,Report GOF,Clinical EXP,Control EXP,Reported Finding for Aperiodic Exponent,Report Effects Size,Effect Size Measure,Effects Size,Biomarker,Interpretation,Notes
Depression,Hacker et al,2024,10,10.1016/j.bpsc.2024.10.019,Aperiodic (1/f) Neural Activity Robustly Tracks Symptom Severity Changes in Treatment-Resistant Depression,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,DBS,resting,3m,within,symptoms,5,[32-56],-,-,regression,20-45,-,-,-,-,⬆︎ ~severity scores,yes,cohen’s-d,-,yes,E/I ratio,"DBS electrodes are in the ventromedial prefrontal cortex. Effect size measures are plotted across electrodes. Also re-analyzed the data with specparam, across the range of 15-45 Hz."
Depression,"Smith, Ma et al",2023,11,10.1038/s41398-023-02634-9,Clinical EEG slowing induced by electroconvulsive therapy is better described by increased frontal aperiodic activity,Translational Psychiatry,EEG,resting,10m,within,treatment,9,[30-70],-,-,specparam,1-30,no,no,-,-,⬆︎ w stimulation [ECT],yes,cohen’s-d,1.81,no,E/I ratio,Paper analyses treatment response in ECT. Only approximate ages provided for patients. Do report specific values for aperiodic activity. 
Depression,"Smith, Kosik et al",2023,11,10.1038/s41398-023-02631-y,Magnetic seizure therapy and electroconvulsive therapy increase aperiodic activity,Translational Psychiatry,EEG,resting,10m,within,treatment,44,46.5 (IQR: 14.5),-,-,specparam,0.5-30,yes,yes,-,-,⬆︎ w stimulation [ECT & MST],yes,cohen’s-d,2.0,yes,E/I ratio,"Two different datasets, one with 22 ECT patients, one with 22 MST patients. Do report specific exponent values per group. "
Depression,Stolz et al,2023,11,10.3390/brainsci13111570,Predictive Biomarkers of Treatment Response in Major Depressive Disorder,Brain Sciences,EEG,resting,2m,between,diagnostic,119,41.4 +/- 1.4,36,32.2 +/- 2.3,specparam,unclear,no,yes,-,-,∅ clinical vs. control,no,-,-,yes,E/I ratio,Analysis examines a treatment effect of TMS. Key analysis is about aperiodic exponent asymmetry (no difference in asymmetry between clinical and control groups). Clinical group is split into responders (n=78) and non-responders (n=41). Ages listed here for responder group. Fit range is maybe 1-45 Hz.
Depression,Tatti et al,2024,9,10.3390/biomedicines12092054,Resting-State EEG Alterations of Practice-Related Spectral Activity and Connectivity Patterns in Depression,Biomedicines,EEG,resting,3m,between,diagnostic,46,19 +/- 1.14,75,19 +/- 1.21,irasa,unclear,-,-,unclear,unclear,⬇︎ clinical vs. control [regionally],no,-,-,yes,neural noise,"Analyze an openly available dataset (Cavanagh et al). Part of the project is analyzing changes related to doing a learning task. Group differences are in occipital regions, and are only significant in a pre-task rest recording, and not in a separate post task rest recording. Approximate slope values visible in a figure (~-3)."
Depression,Li et al,2024,12,10.1016/j.bpsc.2024.12.014,Individualized Spectral Features in First-Episode and Drug-Naïve Major Depressive Disorder: Insights From Periodic and Aperiodic Electroencephalography Analysis,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,EEG,resting,10m,between,diagnostic,72,22.09 +/- 3.29,84,21.43 +/- 2.40,specparam,2-45,yes,yes,unclear,unclear,∅ clinical vs. control,no,-,-,yes,E/I ratio,"Is no significant exponent difference, but do report a significant difference of the aperiodic intercept in channel PO3. Aperiodic parameter values are available in a figure (~1.3-1.4)."
Depression,Zandbagleh et al,2024,9,10.3390/s24186103,Implications of Aperiodic and Periodic EEG Components in Classification of Major Depressive Disorder from Source and Electrode Perspectives,Sensors,EEG,resting,unclear,between,diagnostic,40,18.79 +/- 1.15,74,18.98 +/- 1.21,specparam,1-45,no,no,unclear,unclear,⬇︎ clinical vs. control,yes,Hedge’s g,0.99,no,unstated,"Analyzing a publicly available dataset (Cavanagh et al, 2017). Methods reporting is lacking - is not very clear on some data info (such as length of data) frequency range analyzed and which parameters are analyzed and how. Are multiple effect size measures across comparisons - what’s in the table is of the Central electrode level aperiodic comparisons. Also do a classification analysis trying to predict diagnosis: find that a combination of periodic and aperiodic features works best. "
,,DOC: Disorders of Consciousness,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC,"Zilio, Gomez-Pilar, Cao et al",2021,2,10.1016/j.neuroimage.2020.117579,Are intrinsic neural timescales related to sensory processing? Evidence from abnormal behavioral states,NeuroImage,EEG,unconscious,5m,between,diagnostic,49,48.88 +/- 15.62,23,44.11 +/- 7.15,regression,multiple,-,-,unclear,unclear,⬆︎ clinical vs. control,yes,z-score,-,no,timescale,"Clinical group: unresponsive wakefulness state (UWS). Paper also includes multiple other datasets. Fit ranges include low frequency range (1-8 Hz) and high frequency range (20-40 Hz). Generally report z-score values for comparisons, but don’t seem to for the UWS vs control comparison."
DOC,Alnes et al,2021,12,10.1016/j.neuroimage.2021.118638,Complementary roles of neural synchrony and complexity for indexing consciousness and chances of surviving in acute coma,NeuroImage,EEG,task,550ms,between,"diagnostic prognosis",67,61.8 (SEM: 1.8),13,53.7 (SEM: 1.3),regression,multiple,-,-,2.45 +/- 1.21,4.25 +/- 0.6,"⬇︎ clinical vs. control [20-40 Hz] ∅ survivor vs. non-survivor",no,-,-,no,neural noise,"Data is from during an auditory stimuli presented to the patients. Fit ranges: 2-40, 2-20, & 20-40 Hz. Are multiple comparisons across different ranges, and also split up the clinical group into survivors and non-survivors, and do a series of comparisons between them, in an original + a validation group. Find that exponent is not informative of patients outcome (survivors vs. non-survivors) - based on validation group."
DOC,Colombo et al,2023,3,10.1093/cercor/bhad031,Beyond alpha power: EEG spatial and spectral gradients robustly stratify disorders of consciousness,Cerebral Cortex,EEG,unconscious,5m,between,diagnostic,87,(avgs: 38-60.6),65,(avgs: 22-75),Colombo,1-40,-,-,-,-,⬆︎ ~less conscious [non-anoxic],no,-,-,no,slowing,"Paper is largely about alpha power. Clinical dataset is split into anoxic and non-anoxic groups, as well as multiple different additional partitions. Ages are reported for sub-groups, but not overall for the clinical (or control) groups. Are lots of further analyses / models in the full paper."
DOC,"Maschke, Duclos et al",2023,7,10.1016/j.neuroimage.2023.120154,Aperiodic brain activity and response to anesthesia vary in disorders of consciousness,NeuroImage,EEG,unconscious,unclear,between,symptoms,43,42 +/- 15.13,-,-,specparam,"1-45 30-45",yes,yes,-,-,"⬆︎ ~worse clinical scores Δ w anesthesia ~ clinical scores",yes,cohen’s-d,-,no,E/I ratio,"Paper includes two different datasets - one group and corresponding analyses also include DOC patients given propofol anesthesia. Diagnoses: 14 MCS, 24 UWS, 4 coma. A “reference” dataset was also included, including resting state, anesthetics, and stroke patients. Use multiple frequency ranges. Also analyze prognosis, based on subjects who regained consciousness."
DOC,"Zilio, Gomez-Pilar, Chaudhary et al",2023,7,10.1038/s42003-023-05109-1,Altered brain dynamics index levels of arousal in complete locked-in syndrome,Communications Biology,EEG,unconscious,5m,between,diagnostic,10,47.1 +/- 20.7,6,45 +/- 14.8,regression,multiple,-,-,2.11 +/- 0.65,0.97 +/- 0.40\,⬆︎ clinical vs. control,no,-,-,yes,timescale,Clinical participants: late stage ALS & completely locked-in syndrome. Paper also includes numerous other datasets. Exponent computed slow (1-8) and high (10-40) frequencies. Have a nice table reporting the values and comparisons of measures across groups. 
DOC,"Maschke, Belloli et al",2024,3,10.1101/2024.03.20.24304639,"The role of etiology in the identification of clinical markers of consciousness: comparing EEG alpha power, complexity, and spectral exponent",preprint,EEG,unconscious,2m,"between within","symptoms prognosis",260,47.25 +/- 17.25,-,-,specparam,1-45,yes,no,-,-,"⬆︎ ~clinical scores [non-anoxic] ⬆︎ ~probability of recovery [anoxic]",no,-,-,no,unstated,"Main goal: compare different features (alpha, spectral ratios, etc). Patient group is heterogenous, including UWS, MCS, and EMCS. Do a diagnostic analysis (between clinical etiologies) and a prognosis analysis (evaluating responsiveness 1 year post injury). Report that there is no diagnostic value of exponent across all etiologies together. Are multiple comparisons across groups and values not clearly reported per group - slightly hard to track which comparisons have differences and which don’t. Discuss some exponent related findings which don’t survive multiple comparisons correction."
DOC,"Wang, Liu, Wang et al",2024,3,10.1016/j.compbiomed.2024.108084,Long-term HD-tDCS modulates dynamic changes of brain activity on patients with disorders of consciousness: A resting-state EEG study,Computers in Biology and Medicine,EEG,unconscious,10m,within,treatment,8,53.8 [28-72],-,-,Colombo,1-40,-,-,-,-,⬇︎ over time / w tDCS treatment,no,-,-,no,E/I ratio,Treatment being evaluated is HD-tDCS. Patients are a mix of UWS (n=2) and MCS (n=6).
,,Epilepsy,,,,,,,,,,,,,,,,,,,,,,,,,,
Epilepsy,Inouye et al,1994,5,10.1016/0304-3940(94)90182-1,Increases in the power spectral slope of background electroencephalogram just prior to asymmetric spike and wave complexes in epileptic patients,Neuroscience Letters,EEG,resting,30m,within,state,10,25.4 [12-40],-,-,regression,0-35,-,-,-,-,⬆︎ before seizure,no,-,-,no,unstated,Seizure activity defined as sharp wave complexes.
Epilepsy,Janjarasjitt & Loparo,2013,10,10.3938/jkps.63.1659,Comparison of complexity measures using two complex system analysis methods applied to the epileptic ECoG,Journal of the Korean Physical Society,iEEG,events,23s 600ms,within,state,5,unclear,-,-,regression,unclear,-,-,5.22 +/- 0.54,3.52 +/- 0.58,⬆︎ during seizure,no,-,-,no,self-similarity,Computes and compares complexity measures - correlation dimension and spectral exponent. The spectral exponent is calculated from a wavelet decomposition of the data - not entirely clear if the measure is quite the same / equivalent to that typically taken of the power spectrum. Uses openly available data (University of Bonn dataset). 
Epilepsy,Janjarasjitt & Loparo,2014,7,10.1016/j.compeleceng.2014.04.005,Examination of scale-invariant characteristics of epileptic electroencephalograms using wavelet-based analysis,Computers & Electrical Engineering,iEEG,events,23s 600ms,within,state,5,unclear,-,-,regression,unclear,-,-,1.29 +/- 0.31,1.84 +/- 0.20,⬇︎ during seizure,no,-,-,no,self-similarity,Computes the spectral exponent from a wavelet decomposition of the data - also compare the measures across different wavelet sets. Appears to be the same data and similar analyses as previous Janjarasjitt paper. Different wavelet sets appear to have different effective frequency ranges. Uses openly available data (University of Bonn dataset). 
Epilepsy,Janjarasjitt,2015,2,10.1016/j.irbm.2014.07.005,Spectral exponent characteristics of intracranial EEGs for epileptic seizure classification,IRBM,iEEG,events,23s 600ms,within,state,5,unclear,-,-,regression,"low high",-,-,"0.53 +/- 0.62 5.44 +/- 0.59","1.74 +/- 0.40 3.61 +/- 0.67","⬇︎ during seizure [low range] ⬆︎ during seizure [high range]",no,-,-,no,self-similarity,Comparisons are between seizure data and interictal data. Appears to be the same data and similar analyses as previous Janjarasjitt paper. Uses openly available data (University of Bonn dataset). Also computes the sensitivity and specificity of the different measures. Specific frequency ranges of the low vs high ranges are unclear. 
Epilepsy,Janjarasjitt & Loparo,2015,4,10.1007/s40846-015-0020-0,Examination of Scale-Invariant Characteristics of Multi-channel ECoG Data for Epileptic Seizure Localization,Journal of Medical and Biological Engineering,iEEG,events,8s,within,state,1,unclear,-,-,regression,unclear,-,-,3.64 +/- 0.31,3.13 +/- 0.16,⬆︎ during seizure,no,-,-,no,self-similarity,"Is a case study of a single patient, comparing multiple channels, including in and out of the seizure onset zone, comparing pre-ictal, ictal, and post-ictal states. Computes the spectral exponent from a wavelet decomposition of the data."
Epilepsy,Yan et al,2016,3,10.1007/s11071-015-2455-9,Analysis of electrocorticogram in epilepsy patients in terms of criticality,Nonlinear Dynamics,iEEG,events,1h,within,state,3,[18-21],-,-,regression,unclear,-,yes,unclear,-,"Δ btwn inter-ictal, pre-ical, ictal",no,-,-,no,criticality,"This report is presented in terms of using the Hurst exponent, but the Hurst exponent is computed by fitting the power law exponent and then converting this to it’s corresponding Hurst value. Exact exponent values are not clearly reported, but can be reverse computed from reported Hurst values. "
Epilepsy,Giuliano et al,2019,4,10.1016/j.seizure.2019.04.007,Abnormal visual sensitivity in eyelid myoclonia with absences: Evidence from electrocortical connectivity and non-linear quantitative analysis of EEG signal,Seizure,EEG,resting,20s,between,diagnostic,10,24.5 +/- 15.9,10,23.1 +/- 6.5,regression,unclear,-,-,unclear,unclear,⬆︎ clinical vs. control,no,-,-,no,self-similarity,"Report is specifically about eyelid myoclonia with absences (EMA), a specific epileptic syndrome."
Epilepsy,Meisenhelter et al,2021,4,10.1093/texcom/tgab019,Interictal Epileptiform Discharges are Task Dependent and are Associated with Lasting Electrocorticographic Changes,Cerebral Cortex Communications,iEEG,task,1s,within,state,307,unclear,-,-,regression,2-120,-,-,-,-,⬆︎ after IEDs,no,-,-,no,unstated,"Report overall is examining interictal epileptiform dischargers (IEDs) in relation to task (free recall), and other spectral features. Analyzed data is the RAM dataset. Ages are provided as number per decade."
Epilepsy,van Heumen et al,2021,3,10.3389/fnhum.2021.646426,Case Report: Aperiodic Fluctuations of Neural Activity in the Ictal MEG of a Child With Drug-Resistant Fronto-Temporal Epilepsy,Frontiers in Human Neuroscience,MEG,sleep,10m 15s,within,state,1,8,-,-,specparam,1-70,no,no,-,-,⬆︎ in SOZ prior / during seizure,yes,z-score,-,no,synchronicity,"Case study - single subject / single seizure event. Analysis is done over time, up to the seizure event. "
Epilepsy,Armstrong et al,2022,9,10.1016/j.eplepsyres.2022.106996,Quantitative electroencephalographic analysis as a potential biomarker of response to treatment with cannabidiol,Epilepsy Research,EEG,resting,18m 18s,within,treatment,47,9.4 [1.96-20],-,-,unclear,unclear,-,-,-,-,⬇︎ on vs. off medication,no,-,-,yes,synchronicity,"Paper is focused on cannabis treatment. Results were more robust within treatment responders than non-responders. Is an interaction with benzodiazepine treatment. Use long ‘resting’ recordings of EEG, and do not exclude sleep, etc. Actual reported values for exponent seem very low (0.078 before 0.065 after)."
Epilepsy,Coa et al,2022,11,10.3389/fneur.2022.1030118,Estimated EEG functional connectivity and aperiodic component induced by vagal nerve stimulation in patients with drug-resistant epilepsy,Frontiers in Neurology,EEG,resting,40m,within,treatment,10,41.9 [27-61],-,-,unclear,unclear,-,-,-,-,⬇︎ w stimulation [VNS],yes,cohen’s-d,0.23,no,unstated,"Main analysis is longitudinal, in relation to patients receiving Vagal Nerve Stimulation, and main analyses are about phase-locking index. Data is an EEG recording when stimulator installed, and a follow up 1 year later. Methods for aperiodic are not well described - cite specparam, but is not clear if it was used, or how. Fit range maybe 0.5-50 Hz. Report an opposite effect in responders and non-responders (decrease exponent in responders / increase in non-responders). Also report that the change in exponent correlates with clinical response. Do report exponent values per group pre / post. "
Epilepsy,Jiang et al,2022,6,10.1002/advs.202200887,Interictal SEEG Resting‐State Connectivity Localizes the Seizure Onset Zone and Predicts Seizure Outcome,Advanced Science,iEEG,resting,3m,within,region,27,[22-60],-,-,specparam,1-250,no,no,-,-,⬆︎ in SOZ vs. non-SOZ,no,-,-,yes,E/I ratio,"Also do a prediction analysis, and can predict whether electrodes are part of SOZ - find significant prediction. "
Epilepsy,Kaur et al,2023,10,10.48550/ARXIV.2310.12080,Aperiodic MEG abnormality in patients with focal to bilateral tonic-clonic seizures,preprint,MEG,resting,unclear,between,symptoms,36,15.47 +/- 8.45,-,-,specparam,1-47.5,no,no,-,-,Δ ~increased seizure severity,yes,cohen’s-d,0.9,no,E/I ratio,"Main goal of the analysis is to look at differences across regions of interest, and whether this varies by seizure severity - compare patients with and without patients with focal to bilateral tonic clonic (FBTC) seizures. To do so, create a normative map of exponent values based on contralateral exponent measures, and compare to affected regions. Also report that the difference in exponent from normative range correlates with the age of onset. Report that there is not a significant difference in the abnormality of resected vs. non-resected regions. Some of the reporting is not very clear."
Epilepsy,Kluger et al,2023,8,10.1101/2023.08.28.555061,Respiratory modulations of cortical excitability and interictal spike timing in focal epilepsy - a case report,preprint,MEG,resting,5m,"between within","state state",1,25,40,25.1 +/- 2.7,specparam,1-40,no,no,-,-,"Δ pattern respiration coupling ⬇︎ during inter-ictal spikes",no,-,-,no,E/I ratio,"Main focus / analysis is on respiration related changes in brain activity. Compute exponent in a time-resolved way (using SPRINT), and relate it to respiratory cycle. Controls had a steeper slope around the expiration -> inspiration transition, whereas the epilepsy patient showed a decrease in exponent then."
Epilepsy,Kundu et al,2023,7,10.1111/epi.17645,"Chronic intracranial recordings after resection for epilepsy reveal a ""running down"" of epileptiform activity",Epilepsia,RNS,samples,unclear,within,prognosis,1,41,-,-,specparam,unclear,no,no,-,-,⬇︎ over time after surgery,no,-,-,yes,E/I ratio,Methods and data reporting is a little unclear - not clear how much data was analyzed. Fit range seems to be 1-70 Hz.
Epilepsy,"Liu, Wang et al",2023,9,10.1109/TNSRE.2023.3317093,Epileptic Seizure Detection and Prediction in EEGs Using Power Spectra Density Parameterization,iEEE Transactions on Neural Systems and Rehabilitation Engineering,EEG,events,10s,within,state,28,[1.5-22],-,-,specparam,unclear,no,no,-,-,can predict ictal vs. interictal,no,-,-,yes,unstated,"Two different publicly available datasets included: Bonn (n=5 clinical & n=5 control )& CHB (n=23 clinical, pediatric). Fit range seems to be 0-40 Hz. Do multiple different prediction approaches to look for differences between different states. Don’t report any parameter values by state - is unclear in which directions the differences between states are. Do lots of different predictions, including different models, and comparing different parameters. "
Epilepsy,"Yang, Han et al",2023,5,10.3389/fneur.2023.1164082,Effects of altered excitation–inhibition imbalance by repetitive transcranial magnetic stimulation for self-limited epilepsy with centrotemporal spikes,Frontiers in Neurology,EEG,unclear,unclear,within,treatment,8,5.9 [4-7],-,-,specparam,1-40,no,no,-,-,⬇︎ w stimulation [TMS],no,-,-,no,E/I ratio,Report is about treatment response to rTMS. Patients have epilepsy with centrotemporal spikes.
Epilepsy,"Yang, Raghu et al",2023,11,10.1111/epi.17758,Sensing with deep brain stimulation device in epilepsy: Aperiodic changes in thalamic local field potential during seizures,Epilepsia,DBS,events,30s,within,state,14,26.5,-,-,specparam,unclear,no,no,-,-,⬆︎ during seizure ,no,-,-,yes,E/I ratio,Main analysis is different states (ictal / post-octal / interictal).  Fit range appears to be ~1-30 Hz. Do report exponent values for different stages.
Epilepsy,Charlebois et al,2024,5,10.1111/epi.17938,Circadian changes in aperiodic activity are correlated with seizure reduction in patients with mesial temporal lobe epilepsy treated with responsive neurostimulation,Epilepsia,RNS,samples,1m 30s,within,state,24,41 [23-67],-,-,specparam,4-75,yes,no,-,-,"⬆︎ during seizure Δ sleep / wake ~ seizures",no,-,-,yes,E/I ratio,"Main goal of report is to examine circadian changes in aperiodic activity, and how it relates to aperiodic activity and seizure activity. Spectral models were fit with a knee."
Epilepsy,Duma et al,2024,7,10.1093/braincomms/fcae231,Excitation/Inhibition balance relates to cognitive function and gene expression in temporal lobe epilepsy: a high density EEG assessment with aperiodic exponent,Brain Communications,EEG,resting,10m,between,diagnostic,67,37.18 +/- 18.04,35,34.92 +/- 9.22,specparam,1-35,yes,no,-,-,⬆︎ clinical vs. control,no,-,-,yes,E/I ratio,"Main goal is to examine physiological measures (exponent) and clinical variables, as well as gene measures from the Allen Brain Atlas. Also report correlations between exponent and clinical measures as well as with some gene measures. For unclear reasons are slightly different age ranges listed in different parts for the clinical group."
Epilepsy,Kozma et al,2024,8,10.1016/j.jneumeth.2024.110180,Identifying epileptogenic abnormality by decomposing intracranial EEG and MEG power spectra,Journal of Neuroscience Methods,"iEEG MEG",resting,1m 10s,within,treatment,"63 33","33 +/- 8.8 32.3 +/- 11.3","234 70",unclear,specparam,1-30,yes,no,-,-,∅ across surgical outcomes,yes,AUC,"0.56 0.59",yes,unstated,"Goal of the analysis is to analyze spatial patterns of abnormality. Report includes two datasets - iEEG and MEG. Clinical groups are also stratified based on surgical outcomes. Analysis approach is to compute normalized maps from controls, and compare in clinical patients. In the iEEG case, the ‘control’ group is the set of patients used to create the normative maps (the RAM dataset). Do report that there is a significant prediction abnormal / normal tissue with aperiodic + periodic parameters together - and interpret as variability across subjects / regions / features."
Epilepsy,"Li, Liao et al",2024,4,10.1016/j.compbiomed.2024.108510,EEG power spectra parameterization and adaptive channel selection towards semi-supervised seizure prediction,Computers in Biology and Medicine,EEG,events,8s,within,state,25,[3-71],-,-,specparam,unclear,no,no,-,-,⬆︎ preictal vs. interictal,no,-,-,yes,unstated,"Paper is largely about a prediction model and approaches for adaptive channel selection. Paper includes two different open datasets. Fit range seems to be 0-30 Hz. Also do a prediction analysis and report a significant prediction pre vs inter-ictal including aperiodic parameters. This paper overlaps (authors, datasets) with the Liao et al, 2024 paper."
Epilepsy,Liao et al,2024,3,10.1007/s13246-023-01340-6,Parameterized aperiodic and periodic components of single-channel EEG enables reliable seizure detection,Physical and Engineering Sciences in Medicine,EEG,events,5s,within,state,23,[3-22],-,-,specparam,0.5-30,no,no,-,-,⬆︎ ictal vs. interictal,no,-,-,no,unstated,"Exploring features for a classification approach to automatic seizure detection. Uses publicly available data. Do report exponent values (per channel) between stages. Also do a prediction analysis showing a significant prediction ictal vs interictal including aperiodic parameters. This paper overlaps (authors, datasets) with the Li et al, 2024 paper."
Epilepsy,Yu et al,2024,6,10.1016/j.fmre.2024.05.018,Critical biomarkers for responsive deep brain stimulation and responsive focal cortex stimulation in epilepsy field,Fundamental Research,DBS,events,20s,within,state,39,[21-59],-,-,regression,"1-15 15-45",-,-,-,-,"⬇︎ during seizure [low range] ⬆︎ during seizure [high range]",no,-,-,yes,unstated,Study is mostly about the application of detrended fluctuation analysis (DFA) - also measure and compare aperiodic exponent. Uses publicly available data.
Epilepsy,Cummins et al,2024,12,10.1016/j.yebeh.2024.110150,Influence of mindfulness meditation on intracranial EEG parameters in epileptic and non-epileptic brain areas,Epilepsy & Behavior,iEEG,meditation,10m,within,region,8,unclear,-,-,specparam,2-55,yes,no,unclear,-,Δ btwn meditative states in epileptic regions,no,-,-,no,unstated,"Report is mainly about comparing meditative states in epileptic and non-epileptic regions. Main aperiodic related result is that epileptic regions change exponent value in mindfulness vs mind wandering (and this change isn’t seen in non-epileptic regions, such that there is a difference in epileptic vs non-epileptic regions). "
Epilepsy,Kienitz et al,2024,12,10.1101/2024.11.30.626179,Temporal Lobe Epilepsy is dominated by Region Specific Interictal Cortical Inhibition,preprint,"EEG iEEG",resting,unclear,"between within","diagnostic state","28 10","unclear unclear","25 -","unclear -",specparam,"1-20 30-100",no,no,"unclear unclear","unclear -","Δ clinical vs control w Δ medication ⬆︎ w interictal discharges vs. without",no,-,-,yes,E/I ratio,"Report includes multiple datasets and multiple modalities. The extracranial EEG between-subject analysis includes comparisons across time and between groups related to anti-seizure medication tapering - result is that epileptic group increases the exponent over time with medication removal, whereas control group does not. "
Epilepsy,Liu et al,2024,12,10.1088/1741-2552/ada0e5,Multi-dimensional hybrid bilinear CNN-LSTM models for epileptic seizure detection and prediction using EEG signals,Journal of Neural Engineering,EEG,samples,unclear,within,state,14,1.5-22,-,-,specparam,unclear,no,no,unclear,unclear,⬆︎ ictal vs. pre or inter-ictal (can predict),no,-,-,yes,unstated,"Report is mainly about using deep learning prediction for seizure detection. Report analyses two openly available datasets - CHB-MIT EEG dataset and an iEEG dataset from Kaggle with data from humans and dogs. After applying data requirements (length of data) only analyze dogs from the Kaggle dataset - so only EEG information is reported in this table. Notable finding: separating into periodic and aperiodic features does better than PSD features. Though exponent values are not clearly reported, based on power spectra, ictal is steepest (highest) exponent, preictal is middle, and interictal is flattest (lowest) exponent."
Epilepsy,Yang et al,2024,8,10.1177/17562864241279124,Long-term effects of vagus nerve stimulation on EEG aperiodic components in patients with drug-resistant epilepsy,Therapeutic Advances in Neurological Disorders,EEG,sleep,5m,within,treatment,18,14.87 +/- 12.22,-,-,specparam,0.5-40,no,no,1.99 +/- 0.23,-,⬇︎ w stimulation (VNS),no,-,-,yes,E/I ratio,"Report is about vagus nerve stimulation (VNS). Examine data within subjects across 4 time points (one pre treatment, and 3 different time points after). Also report that the change in exponent correlates with the change in seizure frequency."
Epilepsy,Kopf et al,2024,7,10.1523/ENEURO.0242-24.2024,Aperiodic activity indexes neural hyperexcitability in generalized epilepsy,eNeuro,MEG,resting,15m,"between within","diagnostic state",51,28.82 +/- 12.18,49,32.10 +/- 12.09,specparam,1-45,no,no,2.86 +/- 0.13,2.39 +/- 0.13,"⬇︎ clinical vs. control ⬆︎ IED present vs. absent",yes,Cohen’s d,"0.52 1.08",yes,E/I ratio,"IED: interictal epileptic discharges. Power spectra were fit with a knee. Analyze topograghies, and main effects reported in table reflect cluster based analyses. Also do some analyses across time around IED events. "
,,Parkinsons,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkinson’s,Martin et al,2018,12,10.1038/s41531-018-0068-y,Differential contributions of subthalamic beta rhythms and 1/f broadband activity to motor symptoms in Parkinson’s disease,NPJ Parkinson's Disease,DBS,resting,6m,between,symptoms,13,67.5 +/- 6.8,-,-,regression,8-90,-,yes,-,-,∅ w symptoms,no,-,-,yes,E/I ratio,Main reported result: modeling and controlling for broadband improves the relationship between beta and symptoms.
Parkinson’s,Mostile et al,2019,2,10.1007/s00702-018-1961-6,Complexity of electrocortical activity as potential biomarker in untreated Parkinson’s disease,Journal of Neural Transmission,EEG,resting,unclear,between,diagnostic,34,65.8 +/- 7.7,18,62.7 +/- 11.2,regression,unclear,-,-,1.31 +/- 0.47,1.6 +/- 0.36,⬇︎ clinical vs. control,no,-,-,yes,complexity,Re-analysis of a previously analyzed dataset - might be more information in the previous paper. 
Parkinson’s,"Vinding, Tsitsi et al",2020,1,10.1093/braincomms/fcaa052,Reduction of spontaneous cortical beta bursts in Parkinson’s disease is linked to symptom severity,Brain Communications,MEG,resting,3m,between,diagnostic,19,67.3 [44-85],19,69.3 [54-76],specparam,1-48,no,no,0.81 +/- 0.20,0.64 +/- 0.17,⬆︎ clinical vs. control,no,-,-,no,unstated,"Main analysis is about oscillations / beta, and in doing so also measure the exponent. Exact fit range is a bit unclear. Don’t discuss / interpret in any detail the exponent findings. "
Parkinson’s,Belova et al,2021,4,10.1111/ejn.14715,Voluntary movements cause beta oscillations increase and broadband slope decrease in the subthalamic nucleus of parkinsonian patients,European Journal of Neuroscience,DBS,resting,1m,within,"state symptoms",22,[44-66],-,-,specparam,unclear,no,no,1.63,-,"⬇︎ w movement Δ ~ motor symptoms",no,-,-,no,E/I ratio,Also analyzes data during hand movements and leg movements. Fit range appears to be something like 5-48 Hz.
Parkinson’s,"Wang, Mo et al",2022,9,10.1111/ejn.15774,Separating the aperiodic and periodic components of neural activity in Parkinson's disease,European Journal of Neuroscience,EEG,resting,3m,within,treatment,15,63.2 +/- 8.2,16,63.5 +/- 9.6,specparam,2-40,yes,yes,-,-,⬆︎ on vs. off medication,yes,cohen’s-d,0.82,yes,E/I ratio,"Key reported analysis is between ON / OFF pharmacological treatment. Also do a between subject subject analysis of the symmetry of the aperiodic components, and compares this between clinical and control. Do report exponent values for ON/OFF clinical group. Seems to be the same data as Zhang et al, 2022."
Parkinson’s,Zhang et al,2022,4,10.1101/2021.12.17.21267975,Dopaminergic modulation of local non-oscillatory activity and global-network properties in Parkinson’s disease: an EEG study,Frontiers in Aging Neuroscience,EEG,resting,3m,within,treatment,15,63.2 +/- 8.2,-,-,Colombo,2-45,-,-,-,-,⬆︎ on vs. off medication,no,-,-,yes,E/I ratio,"Report also does a series of functional connectivity (FC) analyses. Also includes some comparisons between exponent measure and FC measures. Seems to be the same data as Wang et al, 2022."
Parkinson’s,Bernasconi et al,2023,6,10.1038/s44220-023-00080-6,Theta oscillations and minor hallucinations in Parkinson’s disease reveal decrease in frontal lobe functions and later cognitive decline,Nature Mental Health,EEG,resting,5m,between,symptoms,75,66.1 +/- 8.63,-,-,specparam,2-45,yes,yes,-,-,∅ w cognitive symptoms,no,-,-,no,unstated,"Main goal is to examine differences related to hallucination symptoms, mainly analyzing neural oscillations. Compare two patient sub-groups: with hallucinations (n=31) and without (n=44)."
